,level_0,index,upa,upa_1,rivlength,relief,aelev_mean,aelev_min,aelev_max,bio12_mean,bio12_min,bio12_max,ndvi_mean,ndvi_min,ndvi_max,bio01_mean,bio01_min,bio01_max,SUB_AREA,COAST,PFAF_ID,DIST_MAIN,HYBAS_ID,DIST_SINK,NEXT_DOWN,ORDER,ENDO,MAIN_BAS,NEXT_SINK,SORT,UP_AREA,long,lat,geometry,elev_mean,elev_min,elev_max,MAT_C,DD,in_LGM,in_MIS6,glaciated,NUM_CODE,COMBO,RELICT,EXTENT,CONTENT,LANDFORM,bin_map,bin_relief,bin_map_2,bin_relief_2
33780,18.0,,103294,11259,1.12510160792414,36.92956733703613,19.701684285714986,7.104719161987305,44.03428649902344,141.94769321090277,138.0,146.75,6023.41176550617,4375,6727,-139.44543391646215,-141.0,-138.25,296.1,0,3517040803,81.3,3100086940,81.3,3100087740,2,0,3100010670,3100010670,71067,296.1,157.26519288398475,70.4885375871561,POINT (259836.19309591665 676020.2975674581),,,,-13.944543391646215,0.10899955466919667,,,Not glaciated,1,Chf,,Continuous,h,,3,0,0,0
30916,60.0,,56926,5918,0.6711802548075,274.4190219640732,24.969705425744227,1.369613289833069,275.78863525390625,128.29941821764254,124.75,147.25,6163.618822448593,4459,6593,-146.49165268791432,-160.25,-145.0,148.3,0,3513305062,3.5,3100056360,3.5,3100010000,2,0,3100010000,3100010000,67462,148.3,140.76351427088778,72.33646255336994,POINT (152219.7954004705 1299440.2671304066),,,,-14.649165268791434,0.10395952640269825,,,Not glaciated,1,Chf,,Continuous,h,,3,4,0,1
67285,,,16597,3345,,488.0,,,,147.07880255337886,142.0,151.0,6218.080866167733,1505,8452,60.57437266123708,52.0,65.0,102.5,0,4713044922,163.0,4100303930,163.0,4100303410,4,1,4100050870,4100050870,130199,102.5,89.7633211851681,43.976433565084335,POINT (-2658713.199136843 4715429.910485199),868.6482500550304,686.0,1174.0,6.057437266123708,0.20154244743025848,,,Not glaciated,19,Slr,,Sporadic,l,r,3,7,0,2
3208,5.0,,50843,5085,0.50266503953062,732.2036743164062,581.9573881135382,288.7274169921875,1020.9310913085938,142.43793051053476,141.0,144.0,6069.541734197732,4444,7883,-134.24553661871963,-152.75,-124.5,153.2,0,8139098023,68.3,8100362730,68.3,8100362210,2,0,8100008870,8100008870,12167,153.2,-143.29352965477352,69.46731228641417,POINT (2268991.3275390253 -287584.5652940823),,,,-13.424553661871963,0.10001376787365025,,,Not glaciated,17,Clr,,Continuous,l,r,3,11,0,3
3091,0.0,,48186,5626,0.462785594038588,1022.5546646118164,421.7475922409701,126.5121078491211,1149.0667724609375,140.434026647129,139.0,143.5,6189.4173179203335,2394,7507,-127.27138961250407,-153.5,-116.5,143.3,0,8139093063,17.5,8100086500,17.5,8100008730,1,0,8100008730,8100008730,12117,143.3,-144.9141886541732,69.73183451128321,POINT (2201501.7308771876 -264114.84682156006),,,,-12.727138961250407,0.11675590420454074,,,Not glaciated,17,Clr,,Continuous,l,r,3,16,0,4
7378,39.0,,68652,7525,0.931979767155427,185.45010375976562,399.3992760214798,283.3188781738281,468.76898193359375,207.17695670803303,199.0,218.0,6107.690811589561,4743,7688,-128.27063430348807,-131.0,-126.0,239.1,0,8314002520,141.2,8100153590,141.2,8100153360,3,0,8100011800,8100011800,26965,239.1,-108.84832158077808,66.06601489265474,POINT (3773462.0212411806 -29259.97124887025),,,,-12.827063430348808,0.10961079065431452,True,True,LGM,17,Clr,,Continuous,l,r,4,2,1,0
81412,,,43607,5941,,332.0,,,,252.9188033741337,240.0,281.0,6331.192591121471,5070,7684,-0.035518297463128,-7.0,3.0,244.9,0,4228016060,3014.2,4100150960,190.5,4100150270,5,1,4100000880,4100050490,125546,244.9,114.20409190932637,49.164115472984925,POINT (-2704028.646522519 2477478.3925783765),854.5198026528972,728.0,1060.0,-0.0035518297463128,0.13623959456050633,,,Not glaciated,20,Ilr,,Isolated,l,r,6,5,1,1
33348,49.0,,43737,3892,0.54636423592232,598.8347244262695,378.13366829626955,107.45323944091797,706.2879638671875,277.87810922121145,253.25,304.75,7912.2844797384105,4636,8473,-125.20540056309181,-142.0,-110.75,161.3,0,3518910302,1170.0,3100258280,1170.0,3100257590,2,0,3100010910,3100010910,74222,161.3,154.24602340215787,64.57155124990093,POINT (-371235.6935397857 385723.9425886327),,,,-12.520540056309182,0.08898644168552941,,,Not glaciated,13,Chr,,Continuous,h,r,6,9,1,2
29998,149.0,,38045,4631,0.4687140743388,629.3014221191406,505.99551129052463,298.9187927246094,928.22021484375,228.37719926045207,205.0,278.0,7740.746346991116,5246,8848,-163.06799069600996,-186.0,-153.0,128.1,0,3512704524,784.3,3100180240,784.3,3100180230,4,0,3100009670,3100009670,66318,128.1,134.7459434786369,66.8578822457908,POINT (-517677.68599751405 1337341.3852514985),,,,-16.306799069600995,0.12172427388618741,,,Not glaciated,17,Clr,,Continuous,l,r,5,9,1,3
71272,,,21318,3512,,1038.0,,,,250.3559006609768,221.0,334.0,6663.982908725317,1667,8110,-17.139489614751117,-63.0,0.0,145.6,0,4328007520,3591.8,4100540110,127.8,4100540120,4,1,4100007850,4100050460,124995,145.6,98.91385493710888,37.219137081808526,POINT (-3874472.117509827 4265138.249166556),3751.6025583434935,3411.0,4449.0,-1.7139489614751118,0.16474340932545267,,,Not glaciated,19,Slr,,Sporadic,l,r,5,16,1,4
7585,115.0,,68641,7925,1.00393623659809,80.00177001953125,437.64422782424793,402.2318115234375,482.23358154296875,352.77059529070107,346.0,360.0,6330.441413260009,3939,7427,-66.64917618837197,-70.0,-64.0,287.9,0,8226496023,2834.8,8100273970,2834.8,8100268460,5,0,8100009560,8100009560,21586,287.9,-106.86293373477574,60.747563316043966,POINT (4268192.257955473 -420702.2568090954),,,,-6.6649176188371975,0.11545577715942366,True,True,LGM,18,Dlr,,Discontinuous,l,r,8,1,2,0
74297,,,28453,3605,,273.0,,,,413.6062703256918,397.0,436.0,8153.76753015812,6917,8776,-47.92494513064514,-55.0,-42.0,129.8,0,3227382058,2870.4,3100900700,2870.4,3100900400,3,0,3100004740,3100004740,31968,129.8,103.91569730609139,57.891385504208515,POINT (-1514205.0934258918 3013280.2670977293),544.9745758638918,424.0,697.0,-4.792494513064514,0.12670017221382632,,,Not glaciated,20,Ilr,,Isolated,l,r,9,4,2,1
79236,,,40575,5303,,564.0,,,,367.60541372992026,341.0,411.0,8156.117065164856,5387,8964,-22.122730696163387,-40.0,-11.0,218.2,0,4228670704,3807.1,4100122630,3807.1,4100122510,4,0,4100000880,4100000880,13210,218.2,111.9541653592146,51.21767978901153,POINT (-2427400.9425711296 2625842.754463976),981.85502310053,775.0,1339.0,-2.2122730696163386,0.1306962415280345,,,Not glaciated,15,Shr,,Sporadic,h,r,8,8,2,2
72434,,,43820,4908,,779.0,,,,420.97075213265697,382.0,540.0,6210.7193300135805,2136,8020,-86.63418292416175,-111.0,-76.0,231.9,0,3227569092,4039.8,3100965250,4039.8,3100646750,2,0,3100004740,3100004740,35800,231.9,100.97440798701861,51.92606274724736,POINT (-2144111.411365192 3429002.7999623762),2190.8163363088106,1951.0,2730.0,-8.663418292416175,0.1120036513007759,,True,MIS6,17,Clr,,Continuous,l,r,10,12,2,3
36335,15.0,,128064,13359,2.10880726501008,832.757568359375,342.0604174585161,71.1229248046875,903.8804931640625,435.663736857105,399.0,501.0,6393.406031107984,1989,8338,-74.72079314844544,-101.0,-59.25,495.2,0,3541724903,136.2,3100306540,136.2,3100306070,2,0,3100012640,3100012640,78760,495.2,176.9933355630335,63.25215764412381,POINT (353477.2640436487 -534777.1479400955),,,,-7.472079314844544,0.1043150299850075,True,True,LGM,17,Clr,,Continuous,l,r,10,13,2,4
17041,59.0,,35388,4713,0.37913074433879,46.55823588371277,18.206704584238928,3.29041600227356,49.84865188598633,452.3397875569047,444.0,462.0,7532.555100168228,6505,8895,-58.12227617602429,-59.0,-57.0,124.7,0,3121043600,387.3,3100213290,387.3,3100210720,3,0,3100001840,3100001840,1186,124.7,68.73451638325723,65.78187240142799,POINT (293098.25066022994 4127933.2766409186),,,,-5.81222761760243,0.13318073923363852,,True,MIS6,6,Dmf,,Discontinuous,m,f,10,0,3,0
20726,62.0,,58349,7521,0.7040948174342,211.0978183746338,47.40163321334616,10.596227645874023,221.6940460205078,592.410174461706,586.0,620.0,8370.216042569313,7647,9192,-46.11821881023378,-57.0,-44.0,225.4,0,3223508020,996.8,3100305920,996.8,3100308570,3,0,3100004740,3100004740,23187,225.4,88.11065357715607,63.24005661474068,POINT (-567604.5272272006 3597530.74698353),,,,-4.611821881023378,0.12889681057087526,,True,MIS6,11,Slf,,Sporadic,l,f,14,3,3,1
94313,,,25711,2204,,578.0,,,,476.63093697367214,457.0,502.0,7952.0844783263865,6864,8427,-55.87401826079245,-74.0,-38.0,112.1,0,3560179082,12.2,3100443790,12.2,3100019330,2,0,3100019330,3100019330,82903,112.1,152.12078214673465,59.4714699424475,POINT (-937731.2797061522 155679.43573654396),406.85800904175153,136.0,714.0,-5.587401826079245,0.08572206448601766,,,Not glaciated,18,Dlr,,Discontinuous,l,r,11,9,3,2
12673,55.0,,80149,7589,1.1119480522412,607.594654083252,415.0875931427393,31.637401580810547,639.2320556640625,584.3183868476406,540.0,612.25,7280.388628331738,6230,8643,-31.308272807940057,-42.75,-10.75,236.9,0,2521051200,0.0,2100038540,0.0,0,1,0,2100038540,2100038540,46703,236.9,23.724747152853986,69.86531775454269,POINT (2246787.963166892 4244264.179946672),,,,-3.130827280794006,0.09468614705111729,True,True,LGM,18,Dlr,,Discontinuous,l,r,13,9,3,3
