,level_0,index,upa,upa_1,rivlength,relief,aelev_mean,aelev_min,aelev_max,bio12_mean,bio12_min,bio12_max,ndvi_mean,ndvi_min,ndvi_max,bio01_mean,bio01_min,bio01_max,SUB_AREA,COAST,PFAF_ID,DIST_MAIN,HYBAS_ID,DIST_SINK,NEXT_DOWN,ORDER,ENDO,MAIN_BAS,NEXT_SINK,SORT,UP_AREA,long,lat,geometry,elev_mean,elev_min,elev_max,MAT_C,DD,in_LGM,in_MIS6,glaciated,NUM_CODE,COMBO,RELICT,EXTENT,CONTENT,LANDFORM,bin_map,bin_relief,bin_map_2,bin_relief_2
33783,21.0,,61141,6941,0.8733249154557,25.17716884613037,18.2892252808019,8.868142127990723,34.045310974121094,144.7608647548239,142.0,149.0,6027.442333849258,5206,6587,-138.58444525579756,-140.0,-137.75,176.4,0,3517040980,97.3,3100090660,97.3,3100090670,2,0,3100010670,3100010670,71073,176.4,157.2314344246936,70.37092224844515,POINT (248362.58766443445 668919.5203192923),,,,-13.858444525579756,0.11352447621072603,,,Not glaciated,1,Chf,,Continuous,h,,3,0,0,0
2873,7.0,,43620,5524,0.583976371885551,261.79418617486954,92.69370907946859,0.147555768489838,261.9417419433594,143.2425130208333,140.0,148.0,6361.50265668011,3694,7047,-112.29509599079451,-116.25,-111.0,128.6,0,8139092040,6.3,8100084630,6.3,8100084640,2,0,8100008670,8100008670,12100,128.6,-146.00261630902207,69.91992837849905,POINT (2156957.3586445996 -246068.6846114751),,,,-11.229509599079451,0.12663915635029802,,,Not glaciated,5,Cmf,,Continuous,m,f,3,4,0,1
34582,132.0,,61498,7301,0.4720177974336,572.4889621734619,122.83030976666652,11.315237045288086,583.80419921875,139.56028414810123,129.0,182.25,7043.126293040142,5418,7544,-136.04547234560448,-161.25,-130.3333282470703,185.1,0,3519100302,0.0,3100010970,0.0,0,1,0,3100010970,3100010970,75991,185.1,162.22466925689614,69.48272364941168,POINT (295644.4870793994 453247.10030591),,,,-13.60454723456045,0.11871930794497382,,,Not glaciated,13,Chr,,Continuous,h,r,3,9,0,2
3522,0.0,,39467,4130,0.477368927038423,758.1318359375,217.03746809519396,7.75836181640625,765.8901977539062,148.71990346858635,146.0,153.0,6373.36855366492,3255,7456,-121.8441508507854,-140.75,-115.0,118.7,0,8210030402,5.0,8100089090,5.0,8100009030,2,0,8100009030,8100009030,12232,118.7,-140.98514029875187,69.49672773417676,POINT (2360384.771322715 -271566.79366754275),,,,-12.184415085078541,0.10464438644943877,,,Not glaciated,17,Clr,,Continuous,l,r,3,12,0,3
3093,2.0,,64760,8435,0.625791095510438,996.0326385498047,228.9185131909529,63.85652160644531,1059.88916015625,140.00486064795166,138.0,142.0,6543.513409729382,3301,7229,-121.79567594332951,-151.25,-117.25,192.4,0,8139094020,14.5,8100085940,14.5,8100008770,2,0,8100008770,8100008770,12124,192.4,-144.48200924143885,69.76796323590551,POINT (2218176.4312752825 -258415.68597736722),,,,-12.179567594332951,0.13025015441630636,,,Not glaciated,5,Cmf,,Continuous,m,f,3,15,0,4
26641,7.0,,46286,4230,0.7295749161613,126.80317497253418,71.99162751839087,17.964998245239258,144.76817321777344,196.39426002529825,192.25,202.0,6530.780383576632,5721,7221,-144.74645311271408,-148.75,-141.0,115.8,0,3317805065,147.2,3100049830,147.2,3100050210,2,0,3100008330,3100008330,45799,115.8,116.69147773739704,73.05098817994033,POINT (108125.93228686065 2109367.110637911),,,,-14.47464531127141,0.09138832476342738,,,Not glaciated,17,Clr,,Continuous,l,r,4,2,1,0
27627,6.0,,58172,4856,0.51960242398654,207.60642623901367,170.32903789917518,34.07899856567383,241.6854248046875,260.8985534606037,248.0,268.25,7217.704273544609,5179,8187,-141.58359487457818,-146.5,-133.0,165.6,0,3318315080,459.4,3100086900,459.4,3100087000,2,0,3100008610,3100008610,46259,165.6,121.80547452634875,70.63368271983485,POINT (-168925.02189202607 1931631.3423868418),,,,-14.158359487457819,0.08347658667400124,,,Not glaciated,13,Chr,,Continuous,h,r,6,3,1,1
2650,22.0,,61925,5811,0.650372324551077,542.8219604492188,368.6436340610491,173.3336181640625,716.1555786132812,292.62838512524763,288.0,298.25,7798.441387621587,7099,8857,-53.939541189635904,-67.25,-47.0,219.7,0,8125012600,1349.2,8100164520,1349.2,8100164320,3,0,8100005510,8100005510,5087,219.7,-148.93539691129772,65.59094635737448,POINT (2051095.7255578493 -749599.8623398365),,,,-5.393954118963591,0.09383932176019379,,,Not glaciated,6,Dmf,,Discontinuous,m,f,6,8,1,2
33402,103.0,,61980,6762,0.68248526945626,705.0033569335938,375.22032656576346,214.04443359375,919.0477905273438,261.56890004587405,243.5,312.25,7773.659972475659,4735,8242,-127.75076881254564,-154.25,-119.0,222.1,0,3518864220,1330.5,3100227190,1330.5,3100227960,6,0,3100010910,3100010910,74566,222.1,154.7521363858017,65.33673793517528,POINT (-283774.3643366187 415563.21071341285),,,,-12.775076881254565,0.10909970958373669,,,Not glaciated,13,Chr,,Continuous,h,r,6,11,1,3
31530,174.0,,49707,6817,0.559665855179,1180.4703674316406,687.8477189680586,295.4202575683594,1475.890625,256.18053061043486,218.75,327.5,7394.662165458212,3113,8096,-166.65490919976057,-203.25,-146.0,171.4,0,3514610220,1000.2,3100199220,1000.2,3100199780,4,0,3100010470,3100010470,69176,171.4,143.99044575050374,66.33619243331485,POINT (-433620.26748982444 916968.6693069297),,,,-16.665490919976058,0.13714366185849075,,,Not glaciated,1,Chf,,Continuous,h,,6,18,1,4
