,level_0,index,upa,upa_1,rivlength,relief,aelev_mean,aelev_min,aelev_max,bio12_mean,bio12_min,bio12_max,ndvi_mean,ndvi_min,ndvi_max,bio01_mean,bio01_min,bio01_max,SUB_AREA,COAST,PFAF_ID,DIST_MAIN,HYBAS_ID,DIST_SINK,NEXT_DOWN,ORDER,ENDO,MAIN_BAS,NEXT_SINK,SORT,UP_AREA,long,lat,geometry,elev_mean,elev_min,elev_max,MAT_C,DD,in_LGM,in_MIS6,glaciated,NUM_CODE,COMBO,RELICT,EXTENT,CONTENT,LANDFORM,bin_map,bin_relief,bin_map_2,bin_relief_2
4494,16.0,,34125,3456,0.400888348062535,50.79731023311615,26.57313839627846,1.552428841590881,52.34973907470703,140.89817983528255,139.0,143.0,7077.913344302405,6180,7758,-106.24103079989469,-107.0,-105.75,103.1,0,8230304400,17.8,8100091360,17.8,8100090880,2,0,8100009950,8100009950,25279,103.1,-130.1527126012007,69.33626734046621,POINT (2787115.0283261263 -180647.5209677266),,,,-10.62410307998947,0.10127472527472528,True,,LGM,1,Chf,,Continuous,h,,3,0,0,0
4730,9.0,,66831,6533,0.816237374536718,293.0107374191284,102.36503759629068,-5.480250358581543,287.5304870605469,139.80448304415637,134.0,148.0,7715.336284393827,6661,8124,-111.34542837335596,-117.0,-107.0,201.5,0,8230410180,35.6,8100090580,35.6,8100089990,2,0,8100010040,8100010040,25327,201.5,-128.0752775549211,69.43880738736114,POINT (2861260.6689493796 -139784.82780434377),,,,-11.134542837335596,0.09775403630051922,True,True,LGM,1,Chf,,Continuous,h,,3,4,0,1
34582,132.0,,61498,7301,0.4720177974336,572.4889621734619,122.83030976666652,11.315237045288086,583.80419921875,139.56028414810123,129.0,182.25,7043.126293040142,5418,7544,-136.04547234560448,-161.25,-130.3333282470703,185.1,0,3519100302,0.0,3100010970,0.0,0,1,0,3100010970,3100010970,75991,185.1,162.22466925689614,69.48272364941168,POINT (295644.4870793994 453247.10030591),,,,-13.60454723456045,0.11871930794497382,,,Not glaciated,13,Chr,,Continuous,h,r,3,9,0,2
3522,0.0,,39467,4130,0.477368927038423,758.1318359375,217.03746809519396,7.75836181640625,765.8901977539062,148.71990346858635,146.0,153.0,6373.36855366492,3255,7456,-121.8441508507854,-140.75,-115.0,118.7,0,8210030402,5.0,8100089090,5.0,8100009030,2,0,8100009030,8100009030,12232,118.7,-140.98514029875187,69.49672773417676,POINT (2360384.771322715 -271566.79366754275),,,,-12.184415085078541,0.10464438644943877,,,Not glaciated,17,Clr,,Continuous,l,r,3,12,0,3
3091,0.0,,48186,5626,0.462785594038588,1022.5546646118164,421.7475922409701,126.5121078491211,1149.0667724609375,140.434026647129,139.0,143.5,6189.4173179203335,2394,7507,-127.27138961250407,-153.5,-116.5,143.3,0,8139093063,17.5,8100086500,17.5,8100008730,1,0,8100008730,8100008730,12117,143.3,-144.9141886541732,69.73183451128321,POINT (2201501.7308771876 -264114.84682156006),,,,-12.727138961250407,0.11675590420454074,,,Not glaciated,17,Clr,,Continuous,l,r,3,16,0,4
23422,12.0,,65281,5618,0.8234729742016,136.7769775390625,109.20719975284734,48.20872497558594,184.98570251464844,278.7836325354608,271.0,286.75,6546.1232771232735,3239,7403,-142.1907813731284,-146.25,-138.0,161.1,0,3315068060,324.1,3100047930,324.1,3100047650,3,0,3100007700,3100007700,42445,161.1,100.98771079094162,73.3035109864907,POINT (235406.97363667027 2608021.4924788484),,,,-14.219078137312842,0.08605873071797307,,True,MIS6,9,Clf,,Continuous,l,f,6,2,1,0
24812,24.0,,47913,4742,0.5710321981836,237.35610961914062,346.47491834616443,174.0302734375,411.3863830566406,282.683718051952,265.0,290.0,6355.46589722943,4451,7505,-143.45789716978322,-147.0,-134.5,131.6,0,3317290392,514.1,3100072040,514.1,3100070300,2,0,3100007940,3100007940,44931,131.6,107.31054316419937,71.34981567317803,POINT (-37346.05528267869 2458741.8414081386),,,,-14.345789716978324,0.09897105169786906,,True,MIS6,17,Clr,,Continuous,l,r,6,3,1,1
29691,5.0,,63093,7052,0.8766899623193,423.93231201171875,424.9426369942258,213.50738525390625,637.439697265625,214.10962754743497,197.0,234.0,7191.40656251689,6623,7991,-160.75841937402015,-172.0,-149.0,212.1,0,3512704380,758.2,3100176420,758.2,3100176010,3,0,3100009670,3100009670,66270,212.1,133.9314112739699,66.97153166852287,POINT (-514106.1387711498 1376358.7116240351),,,,-16.075841937402014,0.11177151189513893,,,Not glaciated,17,Clr,,Continuous,l,r,5,6,1,2
34292,117.0,,74678,7829,1.1267153667699,694.3828811645508,203.97297174873108,56.75133514404297,751.1342163085938,203.41472683330167,182.5,259.25,7541.226912802905,5464,7937,-130.2055587356102,-159.75,-121.5,241.6,0,3518222287,210.9,3100149880,210.9,3100146710,6,0,3100010910,3100010910,71448,241.6,160.08343740686328,67.85671961187309,POINT (96214.55233502435 397804.1325042988),,,,-13.02055587356102,0.10483676584804093,,,Not glaciated,13,Chr,,Continuous,h,r,4,11,1,3
32665,199.0,,47059,4615,0.60055630578767,882.1448974609375,828.4983579412037,541.4647216796875,1423.609619140625,272.8268013526401,255.0,326.25,6510.133291424608,3854,7492,-147.75288845053322,-180.0,-131.75,173.2,0,3518680062,1137.4,3100257460,1137.4,3100258030,5,0,3100010910,3100010910,74130,173.2,148.77837127772307,64.59716595623843,POINT (-511646.8278909307 620444.8959958788),,,,-14.775288845053323,0.09806838224356659,,True,MIS6,13,Chr,,Continuous,h,r,6,13,1,4
