,level_0,index,upa,upa_1,rivlength,relief,aelev_mean,aelev_min,aelev_max,bio12_mean,bio12_min,bio12_max,ndvi_mean,ndvi_min,ndvi_max,bio01_mean,bio01_min,bio01_max,SUB_AREA,COAST,PFAF_ID,DIST_MAIN,HYBAS_ID,DIST_SINK,NEXT_DOWN,ORDER,ENDO,MAIN_BAS,NEXT_SINK,SORT,UP_AREA,long,lat,geometry,elev_mean,elev_min,elev_max,MAT_C,DD,in_LGM,in_MIS6,glaciated,NUM_CODE,COMBO,RELICT,EXTENT,CONTENT,LANDFORM,bin_map,bin_relief,bin_map_2,bin_relief_2,notes
843,88,,41809,5408,0.54975469,41.8943758,29.22407697,15.8482008,57.7425766,402.558734,397,410,7290.541791,4190,8512,-17.32750144,-18,-16,171.7,0,8118160602,241.7,8100436380,241.7,8100267160,3,0,8100004910,8100004910,2808,171.7,-162.0700774,61.38040154,POINT (1321958.165833737 -1170861.1094813007),,,,-1.732750144,0.12935014,,,Not glaciated,5,Cmf,,Continuous,m,f,9,0,2,0,done
74296,,,34267,3750,,258,,,,390.365115,377,409,8686.915182,8030,9065,-28.45576539,-35,-24,160.2,0,3227383902,2816.3,3100515960,2816.3,3100515210,3,0,3100004740,3100004740,31712,160.2,103.3235207,57.00878516,POINT (-1605108.5667652083 3079971.44854014),405.1720708,291,549,-2.845576539,0.109434733,,,Not glaciated,16,Ihr,,Isolated,h,r,9,4,2,1,done
34776,53,,28634,2699,0.382965369,599.0647583,598.8376839,398.7092896,997.7740479,338.4571886,317,410,6822.768219,3988,7557,-122.655608,-155,-109.25,106,0,3545048502,517.3,3100265440,517.3,3100268750,3,0,3100017760,3100017760,82120,106,164.1602437,64.45275393,POINT (-67816.46828077268 -8073.851550800726),,,,-12.2655608,0.094258574,,TRUE,MIS6,13,Chr,,Continuous,h,r,8,9,2,2,done
31965,74,,35121,3465,0.434665854,649.9232788,1006.709285,757.758606,1407.681885,300.2086934,278,343,7209.866614,6059,7873,-146.7412153,-168,-132,136.2,0,3518984060,2134.9,3100315380,2134.9,3100316740,4,0,3100010910,3100010910,75814,136.2,147.0715295,63.14312604,POINT (-702811.1804492213 618595.9430497601),,,,-14.67412153,0.098658922,,,Not glaciated,17,Clr,,Continuous,l,r,7,10,2,3,done
32115,44,,24982,2423,0.29746197,840.4493408,1053.135676,767.6854248,1608.134766,396.5717336,357.75,464,6263.328042,2781,7636,-126.7223013,-153.75,-111,102.7,0,3518997502,2154.1,3100373340,2154.1,3100372370,2,0,3100010910,3100010910,75851,102.7,146.9785454,61.37731805,POINT (-890004.3339024982 528832.105828339),,,,-12.67223013,0.096989833,,TRUE,MIS6,13,Chr,,Continuous,h,r,9,13,2,4,done
18571,,,39536,5755,,49,,,,529.3002387,521,536,7901.559592,6735,8488,-35.57310535,-37,-34,193.9,0,7132402025,296.5,7100147760,296.5,7100145300,4,0,7100022270,7100022270,32239,193.9,-92.03491128,55.15890974,POINT (5380008.786925358 -114928.64171972312),128.8992402,109,158,-3.557310535,0.145563537,TRUE,TRUE,LGM,19,Slr,,Sporadic,l,r,12,0,3,0,done
20679,15,,42746,5539,0.572548702,212.7944183,138.4354008,40.01385498,252.8082733,598.0523844,580,612,8498.676258,8152,9161,-42.63922213,-46,-38,172.2,0,3223900542,1171.3,3100849770,1171.3,3100353240,2,0,3100004740,3100004740,23549,172.2,88.92201726,62.02238036,POINT (-712354.3759862762 3634775.5246632006),,,,-4.263922213,0.129579376,,TRUE,MIS6,4,Ihf,yes,Isolated,h,f,14,3,3,1,done
86542,,,34709,4127,,495,,,,516.0014973,483,560,9019.092989,8058,9335,-21.30723161,-39,-11,195.5,0,4224964920,2974.4,4100156220,2974.4,4100154970,5,0,4100000880,4100000880,10868,195.5,122.37469,49.00875024,POINT (-2743682.9530299827 1803279.9091721603),825.4985421,621,1116,-2.130723161,0.118902878,,,Not glaciated,20,Ilr,,Isolated,l,r,12,7,3,2,done
22709,125,,49848,5294,0.501628637,621.397522,406.453832,88.09527588,709.4927979,463.7904079,425,508,7398.867978,5898,8569,-96.58198123,-113,-79,187,0,3222601040,1422.1,3100279310,1422.1,3100280260,4,0,3100004740,3100004740,24445,187,97.77988352,64.09553727,POINT (-706900.2249990827 3105774.345344566),,,,-9.658198123,0.106202857,,TRUE,MIS6,13,Chr,,Continuous,h,r,11,9,3,3,done
30379,64,,29751,2539,0.361156958,953.3261719,1141.658223,666.039917,1619.366089,459.888909,394,545,7653.218363,5633,8409,-147.4067802,-180,-119,121.4,0,3424360920,2384.5,3100369710,2384.5,3100375850,4,0,3100009130,3100009130,53887,121.4,137.7394216,61.62122298,POINT (-1061324.6546334997 1020685.3372820154),,,,-14.74067802,0.085341669,,TRUE,MIS6,13,Chr,,Continuous,h,r,10,15,3,4,done
558,35,,61837,8011,0.727629116,6.342103958,18.73538997,15.81842804,22.160532,625.6435266,603,648,6518.510657,3736,7326,-6.342866148,-8,-5,263.9,0,8119010403,31.9,8100289930,31.9,8100004970,1,0,8100004970,8100004970,3500,263.9,-163.1898391,60.18885578,POINT (1227964.639400449 -1294217.2293555583),,,,-0.634286615,0.129550269,,,Not glaciated,5,Cmf,,Continuous,m,f,14,0,4,0,"skipped, not headwaters"
21623,132,,45050,5381,0.71210663,342.5993347,478.8389857,292.0349426,634.6342773,631.3074284,601,658,8603.826698,7781,9318,-72.68901763,-81,-62,179.4,0,3224108060,1516,3100341650,1516,3100341640,4,0,3100004740,3100004740,24859,179.4,92.95460806,62.30548864,POINT (-790955.9111615736 3424849.3322094427),,,,-7.268901763,0.119445061,,,Not glaciated,19,Slr,,Sporadic,l,r,14,5,4,1,done
89050,,,46686,5047,,456,,,,626.36404,590,670,8265.587802,7090,9166,-59.68486948,-75,-47,236.3,0,4226834033,2792.7,4101169780,2792.7,4101169570,4,0,4100000880,4100000880,9866,236.3,128.3067619,53.89089198,POINT (-2098340.4978917623 1401622.8038407108),709.0899536,463,919,-5.968486948,0.108105214,,,Not glaciated,19,Slr,,Sporadic,l,r,14,7,4,2,done
31401,,,38261,3551,,767,,,,789.7420641,680,923,6766.369382,-7,8459,-46.55070373,-66,-32,188.4,1,7231130903,0,7100030390,0,0,0,0,7100030390,7100030390,43761,188.4,-62.20184712,56.73008243,POINT (5794168.148684708 1854120.2635877093),260.4888699,0,767,-4.655070373,0.092809911,TRUE,TRUE,LGM,19,Slr,,Sporadic,l,r,18,12,4,3,done
69524,,,28115,2757,,1175,,,,780.1922927,655,847,7790.426804,3467,8631,-70.36925847,-102,-43,147.1,0,3226818022,3307.1,3100960530,3307.1,3100635060,5,0,3100004740,3100004740,33642,147.1,94.45853484,52.43766983,POINT (-1898143.1614663429 3862783.0240616947),1588.014224,1085,2260,-7.036925847,0.098061533,,,Not glaciated,19,Slr,,Sporadic,l,r,18,18,4,4,done
