,level_0,index,upa,upa_1,rivlength,relief,aelev_mean,aelev_min,aelev_max,bio12_mean,bio12_min,bio12_max,ndvi_mean,ndvi_min,ndvi_max,bio01_mean,bio01_min,bio01_max,SUB_AREA,COAST,PFAF_ID,DIST_MAIN,HYBAS_ID,DIST_SINK,NEXT_DOWN,ORDER,ENDO,MAIN_BAS,NEXT_SINK,SORT,UP_AREA,long,lat,geometry,elev_mean,elev_min,elev_max,MAT_C,DD,in_LGM,in_MIS6,glaciated,NUM_CODE,COMBO,RELICT,EXTENT,CONTENT,LANDFORM,bin_map,bin_relief,bin_map_2,bin_relief_2,notes
3415,94,,22815,2858,0,70.97398114,14.38413814,-2.963025331,68.01095581,136.016057,135,137.5,6204.649591,5384,6626,-121.4682839,-122,-121,72.5,1,8139099001,0,8100008880,0,0,0,0,8100008880,8100008880,12174,72.5,-143.141997,70.06160442,POINT (2266920.7934161364 -219353.0145783387),,,,-12.14682839,0.125268464,,,Not glaciated,5,Cmf,,Continuous,m,f,3,1,0,0,done
3057,77,,33870,3657,0.140533009,199.4328902,53.05319924,-2.28768754,197.1452026,138.8489615,138,140,6613.160664,5333,7448,-115.2230755,-119.25,-113,103.7,1,8139093050,0,8100008720,0,0,0,0,8100008720,8100008720,12114,103.7,-144.9811096,69.92687851,POINT (2196905.1389319627 -242121.73042654386),,,,-11.52230755,0.107971656,,,Not glaciated,5,Cmf,,Continuous,m,f,3,3,0,1,done
34581,131,,114693,12541,1.175188342,543.5424111,99.82440988,3.864144087,547.4065552,144.2309645,134,186.75,7035.945698,5324,7622,-133.749775,-159,-129,348.8,0,3519100102,0,3100010930,0,0,1,0,3100010930,3100010930,75981,348.8,161.7802057,69.25048193,POINT (263857.6833872446 448788.5649895889),,,,-13.3749775,0.109344075,,,Not glaciated,13,Chr,,Continuous,h,r,3,8,0,2,done
3514,88,,73677,9907,0.536478474,709.8933555,96.57953391,-1.501509786,708.3918457,145.7067196,143,149,6369.406536,3711,7162,-117.9642385,-138.75,-114.75,224.5,1,8210030300,0,8100009000,0,0,0,0,8100009000,8100009000,12229,224.5,-141.2058604,69.57334992,POINT (2350290.1009491137 -264268.2547522937),,,,-11.79642385,0.134465301,,,Not glaciated,1,Chf,,Continuous,h,,3,11,0,3,done
2981,1,,48186,5626,0.462785594,1022.554665,421.7475922,126.5121078,1149.066772,140.4340266,139,143.5,6189.417318,2394,7507,-127.2713896,-153.5,-116.5,143.3,0,8139093063,17.5,8100086500,17.5,8100008730,1,0,8100008730,8100008730,12117,143.3,-144.9141887,69.73183451,POINT (2201501.7308771876 -264114.84682156006),,,,-12.72713896,0.116755904,,,Not glaciated,17,Clr,,Continuous,l,r,3,16,0,4,done
28466,144,,46554,7671,0.436958574,164.4367065,241.4416031,182.0876465,346.524353,288.6325238,279,300,7908.819929,6825,8620,-104.016851,-108,-102,184.3,0,3423049060,1628.5,3100330640,1628.5,3100329250,3,0,3100009130,3100009130,50303,184.3,125.7467662,62.55091778,POINT (-1089199.5370340687 1689110.0864590097),,,,-10.4016851,0.164776389,,,Not glaciated,17,Clr,,Continuous,l,r,6,2,1,0,done
28976,100,,55613,6670,0.708286886,211.6989899,219.4264567,95.80198669,307.5009766,295.3091726,279,307,8159.071101,7166,8917,-99.09262222,-104,-90,228.6,0,3425300120,1906.7,3100379230,1906.7,3100378520,2,0,3100009130,3100009130,51318,228.6,128.4159968,61.39976322,POINT (-1205368.7443798725 1525757.8413775135),,,,-9.909262222,0.119935986,,,Not glaciated,1,Chf,,Continuous,h,,7,3,1,1,done
30101,93,,41524,3414,0.426123134,488.8676758,903.614254,680.7155762,1169.583252,274.4856542,250,300,6611.165349,5747,7600,-178.8836127,-190.25,-167,144.1,0,3512902050,909.7,3100200090,909.7,3100795450,2,0,3100009670,3100009670,66719,144.1,134.9391287,66.16959981,POINT (-592327.4377645459 1308338.9553545918),,,,-17.88836127,0.082217513,,,Not glaciated,17,Clr,,Continuous,l,r,6,7,1,2,done
70463,,,26678,3481,,672,,,,269.3706347,238,325,6486.746153,4715,7945,-75.87952322,-95,-64,147.1,0,3610193804,360.1,3100979030,360.1,3100979730,2,1,3100024330,3100024330,86655,147.1,96.00148932,50.0526544,POINT (-2217611.0794094577 3877670.0745664435),1787.021927,1556,2228,-7.587952322,0.130482045,,,Not glaciated,12,Ilf,,Isolated,l,f,6,10,1,3,done
28895,19,,43754,5098,0.633312289,1050.132439,373.2937699,74.27454376,1124.406982,287.8374656,255,380,7725.668055,4286,8655,-126.6161692,-166,-110,164.1,0,3423030840,1421.2,3100280570,1421.2,3100278420,3,0,3100009130,3100009130,49750,164.1,127.8547361,64.09310348,POINT (-896893.2305807592 1600355.2129556611),,,,-12.66161692,0.116515061,,,Not glaciated,1,Chf,,Continuous,h,,6,16,1,4,done
