,F1Score_class0,Recall_class0,Precision_class0,F1Score_class1,Recall_class1,Precision_class1
98,0.5509129628899317,0.4460747529186519,0.7201701250161103,0.8922811332355862,0.9455869601127477,0.8446646280037072
99,0.7710111474322204,0.6396887650334303,0.9701805342980381,0.7178812570776607,0.9609195140188175,0.5729653691421116
100,0.6050502023078076,0.4363213918939774,0.9865607819181429,0.9552265429896539,0.9990227868298359,0.9151090025796057
101,,0.0,0.0,0.9297580213849161,0.9605706042594521,0.9008607731134987
102,,0.0,0.0,0.8964379155817777,0.8931798162791276,0.8997198713858973
103,0.7385881007143466,0.9162439613249926,0.618636984486168,0.9514130938782895,0.918318604159746,0.9869820874649797
104,0.01132549111182463,0.005996290953987263,0.10180164421899597,0.7589315581325279,0.9688946233373985,0.6237603684479404
105,0.48678110512467115,0.32619647354479014,0.9587857847976308,0.9288332898966206,0.9968858389540666,0.8694782382408431
106,0.9948256450593007,0.9898716305869472,0.9998294956947663,0.518651362984218,0.970469798006396,0.35389133627019087
107,0.9926992919472032,0.9858900436150878,0.9996032533227535,0.4211332312404288,0.9309410961875821,0.2721155749059964
108,0.3611671157162493,0.22108303055632936,0.9857896308090357,0.299130017399652,0.9812627932351529,0.1764614273781377
109,0.9393783684224111,0.9039031174326124,0.9777519451784484,0.7365909855536411,0.888028515219075,0.6292786593969376
110,0.950899813069782,0.9399149474843539,0.9621444770452979,0.7305307708490602,0.7805987516983868,0.6864984300500058
111,0.7694934408304939,0.9372378205683499,0.6526787085102057,0.18390764780767463,0.11257421543561733,0.5020093612595149
112,0.8481615834011539,0.8964174255544841,0.8048357554217075,0.7409823543680553,0.6786605657173777,0.8159076185172136
113,0.7672999100390026,0.8361529962457536,0.7089235434264674,0.5661288648246999,0.4907781935254035,0.6688139006506248
114,0.8468676747466837,0.7599433937706199,0.9562454952363071,0.6229644597646499,0.867188792659585,0.48607289702290785
115,0.7403680300942179,0.7792953069047944,0.7051447157693134,0.7959161426147859,0.7658454397600183,0.8284447911495638
116,0.9578157719898746,0.9226425793833227,0.9957770122580307,0.9649811152146442,0.9965177644408487,0.9353793056777424
117,0.6029690081062454,0.4457077241521728,0.9317083065688495,0.7874283237569771,0.970826112066935,0.6623116865202526
118,0.7054795294543071,0.5455355738383135,0.9981134488712669,0.9401943574387039,0.9997120897840687,0.8873651838697102
119,0.8219148950765918,0.8521732327087194,0.7937316577122074,0.7769203667580411,0.7438357178643337,0.813085120733846
120,0.6425614178199677,0.7612645709582827,0.5558831632727044,0.2307581314254795,0.17277826294263432,0.3473044139204083
121,0.900130559742035,0.9058294975534547,0.8945028822207903,0.3275017701203682,0.3141911015421094,0.3419901417128774
122,0.7086946542794703,0.6886924647106146,0.729893474339803,0.05408120281261138,0.05971270639058849,0.049420369246257936
123,0.4965662271954806,0.33740383956122155,0.9399797288364646,0.5132243372825018,0.9436312718012385,0.3524607480921537
124,0.3798315811496417,0.23879819293749247,0.9277683871221353,0.4409935410403241,0.9430011632269406,0.287788853861956
125,0.8949186081242533,0.8106476523261898,0.9987430380977513,0.8335272082018929,0.9978639034980308,0.7156653631946913
126,0.1141591114479783,0.07378655411238369,0.2520921848847689,0.9379838158310969,0.975344640245767,0.9033796294476308
127,0.7994550078721085,0.803718404514661,0.7952366037008481,0.6585913982928538,0.6526971802140101,0.6645930426098535
128,0.577740538486645,0.5539218891525327,0.6036996314621383,0.7282803933431345,0.7490054226180177,0.7086714088751693
129,0.5643653545448366,0.3986266259272458,0.966005789343535,0.6451769200952434,0.9755408332969582,0.48196197459112605
130,0.5626720484678059,0.40489277167782683,0.921932027023529,0.591532670082519,0.9300321304598018,0.4336859983340365
131,0.9669547741977648,0.938476481195114,0.9972155172776942,0.5331255771006463,0.9332255782469718,0.3731469887304601
132,0.4372427289290775,0.44543360944400945,0.42934764602590864,0.9282642168374151,0.9260934301894174,0.9304452041506978
133,0.4577226606538895,0.4010272618725746,0.5330882352941176,0.9906677686848344,0.9930839187457967,0.9882633469589991
134,0.2884891106194977,0.16914802163480985,0.979730325196087,0.7037042040054357,0.9964804088770479,0.5439006055543955
135,0.11066434707804801,0.05884058562857558,0.927991755764524,0.12247960378480999,0.935297181495729,0.0655304965574289
136,0.00010268574567821367,5.1930786647286453e-05,0.0045351473922902496,0.408990073410031,0.968453578600626,0.25923389718357
137,,0.0,0.0,0.9360542395444593,0.9185235631666665,0.9542671069073095
138,,0.0,0.0,0.98033358227533,0.9672927684818989,0.9937308277673073
139,0.34533190443169637,0.7194641449582629,0.2271897810218978,0.8833075265240813,0.8083781349073528,0.9735465461895138
140,0.4506060401628101,0.3070252049290274,0.846449541671947,0.8877638681520617,0.9815368830551682,0.8103459120815529
